"number"|"type"|"state"|"u_change_outcome"|"u_approval_requested"|"approval"|"short_description"|"description"|"assignment_group"|"cmdb_ci"|"u_request_window_exception"|"start_date"|"end_date"|"work_start"|"work_end"|"risk"|"u_user_impact"|"u_technical_impact"
"CHG0044857"|"Standard"|"Cancelled"|""|""|"Not Requested"|"HPE Firmware Upgrade in Building Distribution switches where there is HA (redundancy)"|"The HPE switches in the buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE switches in the Building.

If building switches are not redundant  then confirm with building owners about timing of change
code upgrade that require user impact and functionality changes  are not in the scope of a standard change"|"ITS OC"|"Test-AP"|"False"|"11/24/2021 12:21"|"11/24/2021 12:21"|""|""|"Low"|"None. Building distributions switches are fully redundant to the Campus Leaf Pairs. In addition the building switches have redundant links from each of the building distributions switches."|"Addresses a number of security and system level stability bugs."
"CHG0045118"|"Normal"|"Pending"|""|"1/27/2021 12:57"|"Rejected"|"Decommission Cognos 10 servers (Prod, Test and Dev)"|"Decommission Cognos 10 servers (Prod, Test and Dev)."|"Business Analytics"|"TM1 - IBM Cognos"|"False"|"3/6/2021 10:00"|"3/6/2021 12:00"|""|""|"Low"|"All users using Cognos version 10 have been migrated to Cognos version 11. There is no impact on Cognos users at all."|"We shutdown the three servers so that they won't take up CPU time. This is beneficial to other VMs that share the same infrastructure. It has no negative impact at all.  "
"CHG0045111"|"Normal"|"Pending"|""|"1/26/2021 15:46"|"Requested"|"Software upgrade for CAL-HCI-VDI-[01-04] from version 4.7.511 to 4.7.515"|"Dell Remote Support will performed the upgrade for 16 nodes
They will upgrade one node at a time. No production down time"|"Hardware Services"|"CAL-HCI-VDI-01"|"True"|"2/26/2021 9:00"|"2/26/2021 17:00"|""|""|"Medium"|"This is rolling upgrade, non disruptive, no impact to client"|"We will upgrade one node at a time."
"CHG0045131"|"Normal"|"Open"|""|"1/28/2021 17:30"|"Approved"|"Upgrade Pure storage X20 to purity version 5.3.12"|"This is a vendor driven upgrade on our Pure Storage SAN. This SAN is fully redundant with 2 controllers and there will be no downtime. Vendor will be upgrading the software from version 5.3.6 to version 5.3.12  and installing new SSL cert that expires on September 1 2021"|"System Administrators"|"cal-pure2"|"False"|"2/19/2021 18:00"|"2/19/2021 21:00"|""|""|"Low"|"None. System is fully redundant"|"Upgraded system to newest version which gives us a more stable system and also a new SSL cert . "
"CHG0045110"|"Normal"|"Pending"|""|"1/26/2021 15:45"|"Requested"|"Software upgrade for CAL-HCI-[01-16] from version 4.7.511 to 4.7.515"|"Dell Remote Support will performed the upgrade for 16 nodes
They will upgrade one node at a time. No production down time"|"Hardware Services"|"CAL-HCI-01"|"True"|"2/14/2021 9:00"|"2/14/2021 23:59"|""|""|"High"|"This is rolling upgrade, non disruptive, no impact to client"|"We will upgrade one node at a time with assistance of the vendor."
"CHG0045117"|"Normal"|"Open"|""|"1/27/2021 8:34"|"Approved"|"Cognos 11 - repoint TM1 from Cognos 10 to Cognos 11 for authentication"|"Cognos 11 - repoint TM1 from Cognos 10 to Cognos 11 for authentication"|"Business Analytics"|"TM1 - IBM Cognos"|"False"|"2/13/2021 10:00"|"2/13/2021 14:00"|""|""|"Medium"|"There is no significant user impact. User just see the Cognos 11 logon screen instead of the Shibbolith login box. Most TM1 users are also Cognos 11 users. Thus, they are already familiar with the Cognos 11 login screen.  "|"There is no major technical impact. Instead of Cognos 10 to do authentication, we switch TM1 to use Cognos 11 to do authentication. User still use the same username and password to logon to TM1."
"CHG0045141"|"Normal"|"Open"|""|"1/29/2021 12:23"|"Approved"|"UPC Border Routers Code Upgrade"|"Both of the UPC Arista border routers are running about two years old code. These are out of compliance and contains lot of bugs. 
These routers faces the outside world, therefore it is very much important to keep these devices in compliance and to the latest recommended by the vendor.
This Change will upgrade code from  4.20.7M to 4.24.4M

The Change will follow the upgrade path as below:
 - Update code on border router1.
     -- Make sure after the reload all the services (mlag and bgp) are normal. Check the routing paths and traffic counters.
 - Update code on border router2.
     -- Make sure after the reload all the services (mlag and bgp) are normal. Check the routing paths and traffic counters.


Join Zoom Meeting 
https://usc.zoom.us/j/98978588677?pwd=RFVhbUZ2WmR1TzBheEpmczdNRzJLdz09 
Meeting ID: 989 7858 8677 
Passcode: 683541 

"|"Network Engineering"|"CAL-7280-BR1"|"False"|"2/12/2021 22:00"|"2/12/2021 23:50"|""|""|"Medium"|"In case of CAL-7280-BR1, the link to CENIC will go down. There is no redundant path for this as it is a point to point link
Minor impact only for one server where only for three destinations, CENIC is the most preferred router. For the rest, traffic will be automatically re-routed over the secondary border router CAL-7280-BR2

Maintenance window communicated with:
 - Will McCown @ SHOA (due to a direct link)
 - CENIC NOC (Single Link)
 - FIONA external contact (CENIC HPR Peering)

"|"Devices will be compliant according to the vendor."
"CHG0045123"|"Normal"|"Open"|""|"1/29/2021 16:31"|"Approved"|"February 2021 Pinnacle Maintenance Schedule - February 12 , 2021, through February 13, 2021 and  February 19th, through February 20, 2021"|"This change is being handled by Calero/MDSL that manages our Pinnacle/TMIS environment and is a hosted environment.
By contract they should perform these tasks and scheduled this one on a weekend which should be least impacting to USC.

Per email below, Pinnacle is doing scheduled maintenance on Friday, February 12th from 9:00 pm through 9:00 am Saturday, February 13th,  and Friday, February 19th from 9:00 pm through 9:00 a.m. February 20th, 2021 

We have notified DPS, ITS/Finance, Field Services manager and dispatch supervisor, and Voice Services that are likely to use this system out of hours. 

_______________________________________________________________________________________________________________

Good Afternoon -

As we continually look at processes to minimize inconvenience to you and your teams, Calero-MDSL will be conducting maintenance in January. 
 
Staging instances will be managed as needed after hours on any day, typically between 8 PM and 8 AM ET (GMT-5). 

Your production instance is scheduled for maintenance on Saturday, January 9, 2020.    Maintenance will begin at 12 midnight ET (GMT-5) and go through 12 noon ET (GMT-5). 

During this time, your production instance will not be available for use.

For 2021,  we will be moving to a schedule with two production instance maintenance periods planned.  These will be the 2nd and 3rd Saturdays of each month beginning at 12 AM ET (5 AM GMT) and completing on or before 12 PM ET (5 PM GMT).  While we are keeping the maintenance length the same as 2020, it is expected that each period may not take 12 hours if done more than once in a month.   

During this time, your production instance will not be available for use.  We apologize for any inconvenience this may cause and will work to minimize the length of the maintenance window as often as possible.  We will continue to notify you each month of upcoming maintenance two weeks prior to the first maintenance window. 

Please let me know if you have questions or concerns with the 2021 plan. 

Here are the dates (all Saturdays):


DATES:                

January 9, 2021                                                                         July 10, 2021

January 16, 2021                                                                       July 17, 2021

February 13, 2021                                                                    August 14, 2021

February 20, 2021                                                                    August 21, 2021

March 13, 2021                                                                         September 11, 2021

March 20, 2021                                                                         September 18, 2021

April 10, 2021                                                                            October 9, 2021

April 17, 2021                                                                            October 16, 2021

May 8, 2021                                                                               November 13, 2021

May 15, 2021                                                                            November 20, 2021

June 12, 2021                                                                            December 11, 2021

June 19, 2021                                                                            December 18, 2021


If you are not the correct recipient of this email or have any questions, please contact your support team:  855-746-6435 or  pinnhelp@calero.com so that we can ensure the appropriate members of your team are aware of these upcoming periods and all questions are addressed. 

Thank you in advance for your cooperation. 

 Regards,

Bev
Beverly Edwards
Technical Support Manager
Calero-MDSL
o: +1 (585) 249-3381
www.calero.com
www.mdsl.com


"|"UC Analysts"|"Pinnacle"|"False"|"2/12/2021 21:00"|"2/13/2021 9:00"|""|""|"High"|"Impact is expected to be minimal as very few users access TMIS on weekends. However, users will be unable to access Pinnacle/TMIS/Calero/MDSL system during this maintenance time. 

Key users who need access, such as DPS dispatchers have been notified and they have a hard copy of emergency phones print out on hand. 

This is a hosted environment."|"Covered in User Impact"
"CHG0045143"|"Normal"|"Pending"|""|""|"Not Requested"|"Windstream on site to FIX Telecommunications SIP MIB Device IP Address for remote support"|"Windstream on site to FIX Telecommunications SIP MIB Device IP Address for remote support. 
"|"Voice Services"|"Avaya"|"False"|"2/12/2021 7:30"|"2/12/2021 8:30"|""|""|"Low"|"LOW - BACK UP SIP Trunk in HSV. "|"LOW"
"CHG0045134"|"Normal"|"Open"|""|"1/29/2021 14:50"|"Approved"|"Oracle Patch Set Upgrade (PSU) and Harvest Decommission"|"Oracle Patch Set Upgrade from version 18.0.0.0.ru-2020-07.rur-2020-07.r1.  to  18.0.0.0.ru-2020-10.rur-2020-10.r1. with Database reboot.
Though the change window is for 1 hour, the downtime will be observed only for 30 min during the DB reboot.


Harvest application will no longer be integrated as a part of MyAccess and will be decommissioned."|"IAM Operations MSP"|"MyAccess"|"False"|"2/12/2021 2:00"|"2/12/2021 3:00"|""|""|"Medium"|"(1) MyAccess will be unavailable during the 30 minute outage along with password resets.
(2) Use of the NetID system will be down for 30 minutes during the change window.
(3) Password sync (from various schools and units) will be offline during the 30-minute window but will be re-synced once the system is back online."|"Oracle patches which are released have to be applied on DB for its smooth functioning."
